date,expiry,method,n_grid,n_price_convex_viol,n_price_slope_viol,n_density_negative,n_iv_undefined,n_scored,n_viol,n_viol_observed,n_grid_observed
2022-06-01,2022-06-09,Fengler,61,0,0,0,0,61,0,0,43
2022-06-17,2022-12-29,Fengler,61,0,0,0,2,59,6,0,43
2022-06-17,2022-08-25,Fengler,61,0,0,0,0,61,2,0,43
2022-06-17,2022-07-28,Fengler,61,0,0,0,0,61,5,0,43
2022-06-17,2022-07-21,Fengler,61,0,0,0,6,55,8,0,43
2022-06-17,2022-07-14,Fengler,61,0,0,0,0,61,6,0,43
2022-06-17,2022-07-07,Fengler,61,0,0,0,1,60,3,0,43
2022-06-17,2022-06-30,Fengler,61,0,0,0,0,61,0,0,43
2022-07-05,2022-12-29,Fengler,61,0,0,0,0,61,6,0,43
2022-07-05,2022-09-29,Fengler,61,0,0,0,3,58,3,0,43
2022-07-05,2022-08-25,Fengler,61,0,0,0,0,61,3,0,43
2022-07-05,2022-08-04,Fengler,61,0,0,0,3,58,4,0,43
2022-07-05,2022-07-28,Fengler,61,0,0,0,1,60,0,0,43
2022-07-05,2022-07-21,Fengler,61,0,0,0,3,57,0,0,43
2022-07-05,2022-07-14,Fengler,61,0,0,0,0,61,0,0,43
2022-07-21,2022-12-29,Fengler,61,0,0,0,4,56,2,0,43
2022-07-21,2022-09-29,Fengler,61,0,0,0,0,61,0,0,43
2022-07-21,2022-08-25,Fengler,61,0,0,0,4,57,0,0,43
2022-07-21,2022-08-18,Fengler,61,0,0,0,5,56,4,0,43
2022-07-21,2022-08-11,Fengler,61,0,0,0,0,61,0,0,43
2022-07-21,2022-08-04,Fengler,61,0,0,0,0,61,0,0,43
2022-07-21,2022-07-28,Fengler,61,0,0,0,0,61,0,0,43
2022-08-08,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-08-08,2022-10-27,Fengler,61,0,0,0,0,61,0,0,43
2022-08-08,2022-09-29,Fengler,61,0,0,0,0,61,0,0,43
2022-08-08,2022-09-01,Fengler,61,0,0,0,6,55,2,0,43
2022-08-08,2022-08-25,Fengler,61,0,0,0,6,55,0,0,43
2022-08-08,2022-08-18,Fengler,61,0,0,0,0,61,0,0,43
2022-08-26,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-08-26,2022-11-24,Fengler,61,0,0,0,5,55,8,0,43
2022-08-26,2022-10-27,Fengler,61,0,0,0,5,56,1,0,43
2022-08-26,2022-09-29,Fengler,61,0,0,0,2,59,0,0,43
2022-08-26,2022-09-22,Fengler,61,0,0,0,8,53,0,0,43
2022-08-26,2022-09-15,Fengler,61,0,0,0,0,61,0,0,43
2022-08-26,2022-09-08,Fengler,61,0,0,0,3,58,0,0,43
2022-09-14,2022-12-29,Fengler,61,0,0,0,6,55,1,0,43
2022-09-14,2022-11-24,Fengler,61,0,0,0,6,55,3,0,43
2022-09-14,2022-10-27,Fengler,61,0,0,0,6,55,1,0,43
