date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2022-06-17,Fengler,2022-07-21,2022-07-28,61,16,0,0,21,0,0
2022-06-17,Fengler,2022-07-28,2022-08-25,61,20,0,0,40,0,0
2022-06-17,Fengler,2022-08-25,2022-12-29,61,20,4,0,42,4,0
2022-07-05,Fengler,2022-07-14,2022-07-21,61,25,23,0,36,5,0
2022-07-05,Fengler,2022-07-21,2022-07-28,61,27,0,0,36,0,0
2022-07-05,Fengler,2022-07-28,2022-08-04,61,26,5,0,47,1,0
2022-07-05,Fengler,2022-08-04,2022-08-25,61,25,0,0,47,0,0
2022-07-05,Fengler,2022-08-25,2022-09-29,61,26,16,0,52,16,0
2022-07-05,Fengler,2022-09-29,2022-12-29,61,41,0,0,58,0,0
2022-07-21,Fengler,2022-07-28,2022-08-04,61,23,6,0,53,2,0
2022-07-21,Fengler,2022-08-04,2022-08-11,61,18,25,0,31,3,0
2022-07-21,Fengler,2022-08-11,2022-08-18,61,14,13,0,19,1,0
2022-07-21,Fengler,2022-08-18,2022-08-25,61,14,0,0,19,0,0
2022-07-21,Fengler,2022-08-25,2022-09-29,61,24,0,0,34,0,0
2022-07-21,Fengler,2022-09-29,2022-12-29,61,41,6,0,55,1,0
2022-08-08,Fengler,2022-08-18,2022-08-25,61,24,7,0,42,2,0
2022-08-08,Fengler,2022-08-25,2022-09-01,61,16,18,0,27,3,0
2022-08-08,Fengler,2022-09-01,2022-09-29,61,16,0,0,27,0,0
2022-08-08,Fengler,2022-09-29,2022-10-27,61,26,24,0,41,4,0
2022-08-08,Fengler,2022-10-27,2022-12-29,61,26,0,0,41,0,0
2022-08-26,Fengler,2022-09-08,2022-09-15,61,18,0,0,46,0,0
2022-08-26,Fengler,2022-09-15,2022-09-22,61,18,40,0,29,8,0
2022-08-26,Fengler,2022-09-22,2022-09-29,61,21,0,0,29,0,0
2022-08-26,Fengler,2022-09-29,2022-10-27,61,29,19,0,45,5,0
2022-08-26,Fengler,2022-10-27,2022-11-24,61,24,17,0,31,3,0
2022-08-26,Fengler,2022-11-24,2022-12-29,61,24,0,0,31,0,0
2022-09-14,Fengler,2022-09-22,2022-09-29,61,24,0,0,45,0,0
2022-09-14,Fengler,2022-09-29,2022-10-06,61,18,0,0,61,0,0
2022-09-14,Fengler,2022-10-06,2022-10-13,61,15,45,0,18,2,0
2022-09-14,Fengler,2022-10-13,2022-10-27,61,14,0,0,18,0,0
2022-09-14,Fengler,2022-10-27,2022-11-24,61,21,16,0,30,3,0
2022-09-14,Fengler,2022-11-24,2022-12-29,61,21,0,0,30,0,0
2022-09-30,Fengler,2022-10-13,2022-10-20,61,22,17,0,29,3,0
2022-09-30,Fengler,2022-10-20,2022-10-27,61,21,0,0,29,0,0
2022-09-30,Fengler,2022-10-27,2022-11-03,61,8,39,0,19,6,0
2022-09-30,Fengler,2022-11-03,2022-11-24,61,8,0,0,19,0,0
2022-09-30,Fengler,2022-11-24,2022-12-29,61,26,12,0,48,12,0
2022-10-19,Fengler,2022-10-27,2022-11-03,61,24,13,0,48,3,0
2022-10-19,Fengler,2022-11-03,2022-11-10,61,15,29,0,22,3,0
