method,moneyness,maturity,n,rmse_volpts,mae_volpts,task,scope
SVI,deep_OTM_put(k<=-0.10),medium(30-90d),1835,3.47464700148522,1.4911818686883869,A,fold17_representative
SVI,deep_OTM_put(k<=-0.10),long(>90d),1147,0.9898805745637566,0.5017271498837985,A,fold17_representative
SVI,"OTM_put(-0.10,-0.03]",short(<=30d),9214,1.3550563745885773,0.6787564405588544,A,fold17_representative
SVI,"OTM_put(-0.10,-0.03]",medium(30-90d),4196,0.6274178171460245,0.34976241391406676,A,fold17_representative
SVI,"OTM_put(-0.10,-0.03]",long(>90d),445,0.6288809548378494,0.4307999880232641,A,fold17_representative
SVI,"ATM(-0.03,0.03]",short(<=30d),12131,2.6271947325851963,1.1495943599293164,A,fold17_representative
SVI,"ATM(-0.03,0.03]",medium(30-90d),4503,1.1494471356703133,0.5690170019325629,A,fold17_representative
SVI,"ATM(-0.03,0.03]",long(>90d),33,1.0153703807900076,0.6311655809914869,A,fold17_representative
SVI,"OTM_call(0.03,0.10]",short(<=30d),10006,2.700418125559764,1.3935710771049565,A,fold17_representative
SVI,"OTM_call(0.03,0.10]",medium(30-90d),3862,1.5704576355226505,0.8220275257765661,A,fold17_representative
SVI,"OTM_call(0.03,0.10]",long(>90d),466,1.2892953913870624,0.4334519705537416,A,fold17_representative
SVI,deep_OTM_call(k>0.10),short(<=30d),1526,3.0824751983734413,1.7443275095010196,A,fold17_representative
SVI,deep_OTM_call(k>0.10),medium(30-90d),913,1.8473823388217128,1.121721444299234,A,fold17_representative
SVI,deep_OTM_call(k>0.10),long(>90d),708,1.6202632197266071,0.6831168220047794,A,fold17_representative
ThinPlate,deep_OTM_put(k<=-0.10),short(<=30d),2640,2.131530563351744,0.8225581998842465,A,fold17_representative
ThinPlate,deep_OTM_put(k<=-0.10),medium(30-90d),1832,1.4281032791434574,0.5602469486976381,A,fold17_representative
ThinPlate,deep_OTM_put(k<=-0.10),long(>90d),1147,0.9736157675892088,0.42267636041056617,A,fold17_representative
ThinPlate,"OTM_put(-0.10,-0.03]",short(<=30d),9214,0.34443646384521154,0.1160959796431258,A,fold17_representative
ThinPlate,"OTM_put(-0.10,-0.03]",medium(30-90d),4194,0.23697694260097008,0.08775458874036046,A,fold17_representative
ThinPlate,"OTM_put(-0.10,-0.03]",long(>90d),445,1.6998038667280861,0.30820842457619224,A,fold17_representative
ThinPlate,"ATM(-0.03,0.03]",short(<=30d),12131,0.18292161193599513,0.07342123377332535,A,fold17_representative
ThinPlate,"ATM(-0.03,0.03]",medium(30-90d),4503,0.2907744498169949,0.09730446070893135,A,fold17_representative
ThinPlate,"ATM(-0.03,0.03]",long(>90d),33,1.4889196688241866,0.5083586298684762,A,fold17_representative
ThinPlate,"OTM_call(0.03,0.10]",short(<=30d),10006,0.585580623532762,0.17376720328140505,A,fold17_representative
ThinPlate,"OTM_call(0.03,0.10]",medium(30-90d),3862,0.41033473046138186,0.13454740948858485,A,fold17_representative
ThinPlate,"OTM_call(0.03,0.10]",long(>90d),466,0.4560511355237162,0.22403069640052495,A,fold17_representative
ThinPlate,deep_OTM_call(k>0.10),short(<=30d),1526,1.7701112474043872,0.8688666297377641,A,fold17_representative
ThinPlate,deep_OTM_call(k>0.10),medium(30-90d),910,1.1858445870170036,0.5808600925456084,A,fold17_representative
ThinPlate,deep_OTM_call(k>0.10),long(>90d),708,1.563332664209029,0.5971730695931847,A,fold17_representative
